Product_Code,W0,W1,W2,W3,W4,W5
P1,11,12,10,8,13,12
P2,7,6,3,2,7,1
P3,7,11,8,9,10,8
P4,12,8,13,5,9,6
P5,8,5,13,11,6,7
P6,3,3,2,7,6,3
P7,4,8,3,7,8,7
P8,8,6,10,9,6,8
P9,14,9,10,7,11,15
P10,22,19,19,29,20,16
P11,15,7,15,14,17,7
P12,3,4,1,6,4,3
P13,12,10,9,6,10,11
P14,14,12,9,11,13,12
P15,19,45,47,42,29,44
P16,30,27,27,43,29,32
P17,49,40,40,28,40,47
P18,40,38,39,38,39,33
P19,26,31,45,36,31,28
P20,13,17,11,10,7,11
P21,12,5,9,8,9,6
P22,8,14,8,9,17,6
P23,3,5,4,3,3,2
P24,36,42,27,33,40,48
P25,26,28,33,32,20,33
P26,14,14,9,8,9,7
P27,44,34,33,39,34,30
P28,34,32,36,41,31,31
P29,13,10,12,17,17,11
P30,46,36,45,34,35,36
P31,7,17,6,7,9,7
P32,15,13,10,4,13,7
P33,15,12,11,17,10,18
P34,47,42,24,55,42,23
P35,34,37,26,27,49,48
P36,41,32,39,45,38,40
P37,36,39,43,42,38,37
P38,37,36,43,52,61,50
P39,31,21,28,39,53,39
P40,41,27,27,51,37,38
P41,35,27,26,43,44,38
P42,42,27,40,27,32,42
P43,28,43,40,43,54,33
P44,34,27,28,36,50,28
P45,40,29,39,34,37,23
P46,27,46,31,38,40,40
P47,40,42,27,28,33,29
P48,29,51,40,33,43,28
P49,37,28,42,38,37,35
P50,12,3,15,8,12,7
P51,19,14,17,27,14,18
P52,40,44,37,48,28,40
P53,2,5,6,8,3,1
P54,41,42,37,40,29,52
P55,34,30,42,42,29,24
P56,31,28,41,36,45,25
P57,38,26,37,43,51,39
P58,32,34,38,41,24,29
P59,5,13,10,11,10,11
P60,37,41,46,27,51,28
P61,25,30,32,47,45,50
P62,12,27,18,22,19,19
P63,37,39,54,44,30,36
P64,34,37,29,42,31,36
P65,14,10,9,10,11,9
P66,35,41,45,34,50,40
P67,36,30,38,44,47,37
P68,14,11,9,9,5,19
P69,26,43,46,39,41,31
P70,31,39,50,31,37,30
P71,7,11,10,8,10,14
P72,26,34,39,41,39,38
P73,35,30,36,46,34,29
P74,8,9,6,15,4,12
P75,34,45,37,27,40,22
P76,27,34,43,45,28,35
P77,7,7,6,2,7,5
P78,39,40,31,39,44,34
P79,37,34,45,41,37,23
P80,38,29,32,40,29,36
P81,14,6,13,5,8,13
P82,10,12,17,13,14,8
P83,46,40,34,38,36,45
P84,29,26,31,39,28,44
P85,39,34,28,38,33,37
P86,37,33,33,32,36,26
P87,30,38,35,39,37,42
P88,41,28,32,30,33,41
P89,24,26,44,31,37,37
P90,42,34,40,39,47,31
P91,10,11,7,13,5,9
P92,26,36,56,40,31,44
P93,11,9,10,13,5,11
P94,14,9,10,9,5,11
P95,12,15,15,13,17,12
P96,31,35,36,44,36,38
P97,29,37,36,40,33,29
P98,4,2,4,4,7,2
P99,16,11,9,21,9,5
P100,13,6,7,9,9,15
P101,26,51,45,47,40,36
P102,34,41,22,32,36,27
P103,7,5,7,7,14,9
P104,4,4,5,5,3,7
P105,2,3,3,2,5,4
P106,11,10,11,16,16,7
P107,19,19,15,24,16,23
P108,0,2,2,0,3,1
P109,9,8,8,5,13,9
P110,9,12,12,6,15,10
P111,5,4,7,4,4,5
P112,31,36,32,51,39,33
P113,22,26,31,37,32,25
P114,7,6,7,8,10,12
P115,9,9,12,13,14,13
P116,13,7,8,8,7,12
P117,6,2,3,3,3,2
P118,16,13,10,10,16,15
P119,30,40,46,33,28,41
P120,37,35,27,30,31,42
P121,7,10,8,10,11,10
P122,7,10,7,8,11,2
P123,5,5,3,6,4,6
P124,4,6,0,7,4,3
P125,6,9,5,10,6,9
P126,3,8,8,3,5,3
P127,4,0,2,2,2,1
P128,36,43,28,39,41,37
P129,21,36,44,47,26,33
P130,19,53,43,41,39,46
P131,29,32,32,35,49,38
P132,39,36,45,41,43,37
P133,30,48,29,38,40,42
P134,32,41,50,35,36,35
P135,38,32,36,37,42,33
P136,39,37,39,52,38,28
P137,37,41,43,41,40,47
P138,36,44,22,35,34,34
P139,32,36,32,38,47,31
P140,28,36,41,46,34,38
P141,27,45,40,34,31,35
P142,23,29,40,43,34,30
P143,31,35,29,42,31,35
P144,9,13,17,12,8,21
P145,10,12,9,9,12,6
P146,7,13,9,13,10,12
P147,10,4,9,9,15,7
P148,3,2,8,3,5,7
P149,11,9,9,6,13,8
P150,4,3,3,4,6,2
P151,3,7,8,8,6,8
P152,11,10,8,8,13,4
P153,22,9,11,10,10,5
P154,12,14,11,6,8,7
P155,5,7,4,3,4,3
P156,1,4,6,6,3,8
P157,12,8,14,7,8,10
P158,8,3,3,2,3,3
P159,2,2,9,5,2,7
P160,9,8,10,13,14,10
P161,5,6,5,7,1,3
P162,13,9,12,9,11,11
P163,6,5,6,6,7,5
P164,9,5,8,9,14,10
P165,9,13,9,16,12,9
P166,7,10,9,11,5,8
P167,33,45,42,41,32,45
P168,34,29,34,59,27,39
P169,38,31,22,43,29,25
P170,29,37,32,43,30,27
P171,6,7,13,6,4,12
P172,32,48,44,40,31,40
P173,34,25,42,47,37,40
P174,37,42,30,43,48,44
P175,30,40,48,28,30,34
P176,38,44,41,26,28,36
P177,25,38,37,48,34,40
P178,35,34,40,36,45,37
P179,44,43,35,36,39,42
P180,40,38,34,43,43,34
P181,32,44,31,38,37,36
P182,42,28,34,28,26,35
P183,25,37,42,50,18,32
P184,30,37,38,30,32,32
P185,32,28,36,40,40,50
P186,36,34,37,36,41,33
P187,31,38,47,36,36,27
P188,33,34,36,52,42,49
P189,32,34,46,30,39,51
P190,54,41,51,45,51,46
P191,48,36,42,35,44,39
P192,24,33,30,35,36,43
P193,36,22,32,45,35,44
P194,35,37,31,23,37,42
